Index,publishDate,url,title,proposal,benefits&impact,#Votes,MinVotesNecessary,SubmissionDate,Followers,Messages,GA,proposer,proposalEN,titleEN,Topics,category,Topic1,Topic2,Topic3,category1,category2,category3
98,2016-04-21 22:38:32,https://join.gov.tw/idea/detail/985c9388-59f0-4207-9df3-d3621f3d8771,執行「車速分流」，取消「車種分流」,當時代與科技不斷的在進步時，法律和制度必須同時盡快跟上，才能確保人民的權益。前提：行駛在道路上之車種，都只是代步工具，不必分貴賤，現今以機車為大眾來做舉例。尊重其他用路人之安全，道路應禮讓行人＞自行車＞機車＞重機＞小客車＞貨車＞大貨車以上等級為優先，受傷的總是越前面的。部分用路人駕照用雞腿換，對其他用路人不友善。正文：　　民國67年禁行機車沿用至今，當時因機車機動性不高，為了加快車流，上下班尖峰時段禁行機車，而非全天候禁行；全球僅剩三個國家執行車種分流，台灣就是其中之一。如今機車機動性高，卻只能行駛最外側車道，必須和公車、計程車、路邊臨停車輛等爭道，是為機車族帶來安全，還是傷害？　　在執行車速分流前，請務必將國民的交通素質提升再提升！高速公路就是一個車速分流的例子，但有發揮到車速分流的本質嗎？所以駕駛人才是關鍵，而不是車種，這有關教育、宣導、制裁、和民俗素養等；先不管改革，國民交通素質提升，為第一優先！圖片出處：google圖片引用連結文章:自由時報 「自由開講」澳洲國立大學博士生著,"個人對道路的定義是，能從Ａ點快速到達Ｂ點如此而已，車速分流的重要就是舒緩交通壅塞，不是右轉車跟直行車卡在路口。
機車和重機，構造和性質相似，以下用二輪代稱

二輪能改善交通壅塞
二輪使用空間小，空間上可使用到極大化，雙贏啊！（ａ）車陣時可鑽車縫（ｂ）停車空間小（支持使用者付費）
二輪排放量小，沒冷氣，不會待速吹冷氣，造成不必要的空氣汙染
台灣文化離不開二輪，發揚光大不是更好？希望政府能帶好風向，我台灣人，我驕傲！
",5079,5000,2016-04-21 22:41:43,642,0,無,豆漿,"When the times and technology are constantly advancing, the law and the system must keep up as soon as possible in order to ensure the rights and interests of the people. Premise: All types of vehicles on the road are just means of transportation, and there is no distinction between high and low. Now we take motorcycles as an example for the public. Respect the safety of other passers-by, and the road should give way to pedestrians > bicycles > locomotives > heavy machinery > passenger cars > trucks > large trucks and above. Some passers-by's driver's licenses are exchanged for chicken legs, which is not friendly to other passers-by. Main text: The ban on locomotives in 1967 is still in use today. At that time, due to the low mobility of locomotives, in order to speed up the traffic flow, locomotives were banned during peak commuting hours instead of all-weather. There are only three countries in the world that implement the division of vehicle types, and Taiwan is one of them. Nowadays, motorcycles are highly maneuverable, but they can only drive in the outermost lane. They have to compete with buses, taxis, and vehicles parked on the side of the road. Does this bring safety or harm to motorcycle owners? Before implementing the speed diversion, please be sure to improve the traffic quality of the people! Expressway is an example of speed diversion, but has the essence of speed diversion been brought into play? So driving talent is the key, not the type of car, which is related to education, publicity, sanctions, and folk literacy, etc. Regardless of reform, improving the quality of national transportation is the first priority! Image source: google Image Citation Link Article: Liberty Times ""Freedom to speak"" by a doctoral student at Australian National University","Execute ""vehicle speed split"" and cancel ""vehicle type split""",4,Traffic&Cars,4,6,8,Traffic&Cars,government&china,education
1305,2017-03-15 16:05:20,https://join.gov.tw/idea/detail/9e9bff81-a1ce-4812-9270-b5936285465a,提升全民行車觀念，以提升全民行車環境品質，解除禁行機慢車道，解除強制二段式左轉,"1.相信大家之前都有看到一則新聞，真的是見識到台灣民眾開(騎)車的觀念極差至極，日前在高雄，有一台汽車為了搶快闖紅燈，機車駕駛問汽車駕駛，沒看到你們變紅燈嗎?汽車駕駛回覆，沒有啊我瞎了阿，車上還坐了汽車駕駛的小孩。這種駕駛人的觀念，實在令人髮指！ 希望政府能推動一系列的安駕講習，例如新竹安駕中心，以新竹安駕中心為主，規劃一系列的安全駕駛講座，各縣市例如監理站為輔，輔助講座的落實，以提升全台民眾駕駛觀念，降低""三寶車禍的發生""2.藉由提升駕駛的觀念，解除禁行機慢車道，降低機車行駛於外側車道，與違停車輛造成的擦撞與摩擦。3.解除強制二段式左轉，使汽/機車駕駛都能夠有最有效率，最安全的方式回家/上班。待轉區變成待撞區",1.藉由提升全民的安全駕駛觀念，可使汽/機車，能夠安全，和平的共用車道，也可以用最有效率的方式達到最高的交通疏通量，不需要在挪經費出來在路面上寫進行車慢車2.解除禁行機慢車道後，因提升行車觀念，使汽/機車可以和平共道，能夠省下更多的經費開闢新的一條機慢車繞道1.可以省去更多的道路維修保養經費2.可以減少更多的環境破壞3.左轉往左邊車道靠，右轉往右邊車道靠，這是最基本的觀念，但往往許多汽車駕駛因為外側有機車，而導致都要到路口才能停下來緩慢通過，在緩慢通過的期間，被他轉彎中阻擋的汽/機車駕駛，都需要因為他而減速，降低交通的效率，因此落實左轉靠左、右轉靠右，不僅僅是汽車駕駛才需要做到，機車駕駛也可以做到，以Youtube連結為例(特別感謝TaibeiMoto．台北摩多授權提供):安全左轉機車也是能夠做到的，在全民駕駛觀念的提升後，好處不勝枚舉。提升全民行車觀念：1.汽/機車能夠安全共道，有效率的提升交通疏導量2.無須多挪出經費維護保養多出來的繞道，以及在路面上寫進行機慢車道3.使機車也能夠安全左轉，無須再多挪出經費設置待轉區解除禁行機慢車道：1.使機車能夠安全行駛於車道內，不必被強制規定行駛於外側，導致與外側違停車輛發生擦撞，更安全2.可以將外側車道規畫成更多的停車格與車道有所區隔，使所有車輛都能夠安全行駛，也能相對解決停車問題解除強制二段式左轉：1.無須因為汽車駕駛恍惚，而使待轉區變成待撞區，更安全2.等到路口無車，或是左轉燈號亮起直接左轉，提升行車效率,5397,5000,2017-03-15 16:05:31,486,0,無,楊小樺,"1. I believe everyone has seen a piece of news before. I really saw that the concept of driving (riding) cars in Taiwan is extremely bad. In Kaohsiung a few days ago, a car ran a red light in order to rush. This kind of driver's concept is really outrageous! It is hoped that the government can promote a series of safe driving lectures, such as the Hsinchu Safe Driving Center. The Hsinchu Safe Driving Center will plan a series of safe driving lectures, and the counties and cities, such as supervision stations, will assist in the implementation of the lectures, so as to improve the driving concept of the entire Taiwan people and reduce the occurrence of ""Sambo car accidents"". 3. Remove the forced two-stage left turn, so that the car/locomotive driver can have the most efficient and safest way to go home/work. Waiting area becomes waiting area","Promote the concept of driving for the whole people to improve the quality of the driving environment for the whole people, lift the slow lane of prohibited traffic, and lift the mandatory two-stage left turn",4,Traffic&Cars,4,6,7,Traffic&Cars,government&china,tax&salary
1418,2017-04-08 13:02:51,https://join.gov.tw/idea/detail/7b6acbe5-93f5-4e6c-b4a9-d3f6c4e05c80,請求內政部空勤總隊設駐恆春機場,恆春半島離最近大都市約120公里，無高鐵無快速道路，居民若發生急難只能靠救護車後送高雄4月1號在關山時舞民宿前面那場車禍.機車騎士在送往高雄義大途中因傷勢嚴重中途轉往東港安泰急救時.已宣告不治了 足以說明後送問題! 4月5日的車城潛客搜索，若由恆春駐地起飛，可省去從繁忙的高雄小港國際機場起飛影響的正常航班(4月5日因為空勤104搜索任務影響起碼6個正常航班)若空勤總隊入駐恆春機場，一來可化解恆春機場淪為蚊子機場之汙名，二來可解決民間要求快速道路延伸(為了後送問題)請長官們考慮一下，駐地一年預算大約2億，可解決民間要求之需要預算900億，哪一個划算? 恆春機場 設置直升機起降點為24小時均可使用! 為何不活化?善盡機場職能?,若空勤總隊進駐恆春機場，以最新的701-706這六架黑鷹直升機來說，最大起飛限制為35浬的風，這已大於恆春機場近5年來觀測到的最大風速!也就是說，若用MH-60M機型可在恆春機場長駐!救護車從恆春後送高雄 1.3小時若是由空勤後送高雄 20分鐘可到金門 澎湖 可由空勤緊急後送，為何恆春半島就不行?只因為我們連在一起，算本島?差別待遇嗎?,8449,5000,2017-04-08 13:03:55,295,0,無,Robin Hsu,"The Hengchun Peninsula is about 120 kilometers away from the nearest metropolis. There is no high-speed rail or expressway. Residents can only rely on ambulances to evacuate Kaohsiung in case of emergency. On April 1, the car accident in front of Guanshan Shiwu B&B. Regular flights affected by takeoff at the international airport (at least 6 normal flights were affected by Aircrew 104 search mission on April 5). If the air crew enters Hengchun Airport, it will firstly resolve the stigma that Hengchun Airport has become a mosquito airport, and secondly, it can solve the private request for express road extension (for the evacuation problem). Revitalization? Exercising airport functions?",Request the Ministry of the Interior Air Force Corps to be stationed at Hengchun Airport,4,Traffic&Cars,4,6,7,Traffic&Cars,government&china,tax&salary
1483,2017-04-21 19:15:53,https://join.gov.tw/idea/detail/06661595-83c3-4a2a-b26f-535bc70c9a76,開放紅黃牌重機可停於一般機車格,之前台北市政府有開放部分路段增設大型重機停車格，但是隨著政策開放，越來越多人已經擁有大型重機駕照，也越來越多人駕駛大型重機，依照目前的停車位規劃根本是供不應求，若是讓大型重機停於汽車格是浪費公共空間的作法，希望可以更有效率的使用公共停車空間，再說目前大型重機所需要停車空間與一般機車並無太大差異，是可以共同使用，懇請修改機車停車格使用規範，將大型重機納入可停放之一，有效使用停車空間，而不會造成大型重機騎士困擾，謝謝。,可以活化利用機車停車空間，不必重新增設大型重機停車空間，也不會排擠到目前已經存在之汽車停車格，也可節省增設大型重機停車格經費，把經費用在對的地方，亦可讓大型重機騎士可以有空間停車。,5089,5000,2017-04-21 19:16:02,267,0,無,He Andy,"Previously, the Taipei City Government opened some roads to add large-scale heavy-duty motorcycle parking spaces. However, with the opening of the policy, more and more people already have a large-scale heavy-duty motorcycle driver’s license, and more and more people drive large-scale heavy-duty motorcycles. According to the current parking space planning, the supply is in short supply. If large-scale heavy-duty motorcycles are parked in the car grid, it is a waste of public space. I hope that the public parking space can be used more efficiently. Besides, the parking space required by large-scale heavy-duty motorcycles is not much different from that of ordinary motorcycles. They can be used together. One, effectively use the parking space without causing trouble to the riders of large heavy machines, thank you.",Red and yellow licensed heavy machines can be parked in general locomotive grids,4,Traffic&Cars,4,1,6,Traffic&Cars,basicNeeds,government&china
1562,2017-05-01 00:07:03,https://join.gov.tw/idea/detail/5e2716e2-d66d-49b0-aa3b-7e2c72b7d8dc,開放大型重型機車使用機車停等區,機車停等區為一專供機車停等的區塊讓起步加速較快的機車可以優先起步促進體積較小的機車在車陣當中的流動緩解交通壅塞提高整體車流效率  經與停等區設計者當面確認過後在設計原理上此一區塊供所有機車使用紅黃牌亦可使用停等區且同樣有緩解壅塞的效果  目前制度把此種合理且有利於交通的行為判定為違規，並且須繳納罰款機車不能使用機車停等區完全不合理設計者對此一現況亦感到十分訝異  希望政府必須盡速開放大型重型機車可於機車停等區停等紅燈且於修法完成前停止取締大型重型機車於機車停等區停等紅燈,提高道路面積利用率，減緩塞車，促進交通效率,5931,5000,2017-05-01 00:08:39,227,0,無,林志學,"The waiting area for locomotives is a block for locomotives to wait for, so that the faster-starting locomotives can start first to promote the flow of smaller locomotives in the queue to ease traffic congestion and improve the overall traffic flow efficiency. After confirming with the designer of the waiting area face to face, the design principle is that this area is for all locomotives to use the waiting area with red and yellow cards, and it also has the effect of relieving congestion. The completely unreasonable design is also very surprised by this situation. I hope the government must open up large and heavy motorcycles as soon as possible to stop at the red light in the motorcycle waiting area and stop banning large heavy motorcycles in the motorcycle waiting area to wait for the red light before the amendment is completed.",Locomotive Parking and Waiting Areas Open for Large Heavy Locomotives,4,Traffic&Cars,4,6,1,Traffic&Cars,government&china,basicNeeds
2104,2017-08-02 20:16:50,https://join.gov.tw/idea/detail/1705179f-788d-4e86-89c1-c60ceddf33aa,開放150cc機車路權,2002年1月1日-台灣正式成為WTO會員國，150CC以上重型機車將於同年7月 1日開放進口，同時台灣政府附帶承諾「150CC以上重型機車未 來之騎乘限制，一般僅限於現有兩條南北向主要高速公路」。 150cc以上級距車輛足以應付得了快車道（限速40、50、60、70公里）/高架（限速70- 80公里）/快速、道路、公路（限速70、80、90公里） 以這些公里速150cc以上車輛足以應付輕鬆抵達這些時速跟限速 。 別再說交通工具有問題 有問題是官員思想有問題跟交通工具駕駛人素養跟觀念有問題 30分鐘能到的路程卻要花費1個多少小時路程， 爭取的是擁有安全的道路回家。 別說高速公路連最基本的路權都沒有（快車道/二段式左轉）， 每年都有繳交牌照稅卻一點路權都沒有 加入15年了交通部一點動作都沒有稅金收的這麼開心人民權益受損 有顧到嗎。 既然不開放路權就別跟我們收稅,"降低塞車/降低車禍 
路是人民共享並不是把機車族列為次等公民對待 
擁有安全道路上下班回家通勤、擁有安全道路來旅遊來看台灣的美降低廢氣排放量",5178,5000,2017-08-02 20:17:29,492,0,無,路權戰神,"January 1, 2002 - Taiwan officially became a member of the WTO. Heavy-duty motorcycles above 150CC will be opened for import on July 1 of the same year. At the same time, the Taiwan government has promised that ""the future riding restrictions on heavy-duty motorcycles above 150CC will generally be limited to the existing two major north-south expressways."" Vehicles with a class distance above 150cc are enough to handle fast lanes (speed limit 40, 50, 60, 70 kilometers) / elevated (speed limit 70-80 kilometers) / express, roads, highways (speed limit 70, 80, 90 kilometers). Vehicles above 150cc at these kilometers speeds are sufficient to easily reach these speeds and speed limits. Don’t say that there is a problem with the means of transportation. The problem is that the officials have a problem with their thinking and the quality and concept of the vehicle driver. It takes an hour to get there in 30 minutes. What we strive for is to have a safe road to go home. Not to mention that the expressway does not even have the most basic right of way (fast lane/two-stage left turn), and the license tax is paid every year, but there is no right of way at all. It has been 15 years since I joined the Ministry of Communications and there is no tax collection. The people's rights are damaged. Have you taken care of it? Since the right of way is not open, don't collect taxes from us",Open the right of way for 150cc locomotives,4,Traffic&Cars,4,6,7,Traffic&Cars,government&china,tax&salary
3465,2017-11-14 16:17:22,https://join.gov.tw/idea/detail/e238652d-8209-42dc-8896-3e081c0e16ec,汽車安全性改裝內容如下項次,"汽車安全性改裝內容如下項次:1. 汽車避震器提升安全安裝2. 汽車輪胎尺寸加大3. 汽車寬體改裝及氣流設計4. 剎車安全性提升改裝5. 汽車內部結構桿強化改裝6. 汽車燈具明亮度提升改裝相對改裝的安全性提升價值1. 汽車避震器改裝:現今國產原廠車提供之避震器安全係數普遍偏低，高於舒適但是耐壓效果卻不如預期，使用一段時間後阻尼器容易偏軟導致車身操控變差，在於特殊狀況發生時無法有效操控車身以避免事故發生，國家合法販賣避震器安裝卻不合乎法規實在令人無法接受！合法販賣理應合法安裝。對於買不起高價車的民眾是絕對有權利選擇提升自己駕駛工具的安全性，如果安全自己也安全別人的改裝有何不可?2. 汽車輪胎尺寸加大改裝有助於汽車行駛間抓地力的表現，在駕駛時不容易產生打滑失控問題發生，只要屬於合理改裝範圍內及不影響輪轉向操控應當合法安裝，依目前法規限制並不屬於專業上的改裝提升考量，現行監理所站無專業人員足以判斷汽車行駛安全條件，這樣的公務單位形同虛設！導致黃牛驗車狀況不斷，根本是合法掩護非法(其中產生的利益關係)3. 寬體改裝及氣流設計為現今高價原廠跑車的設計主流，如果超跑都以這方面作為設計理念及概念時，我國有何專業單位可以認定為這屬於危險改裝甚至不合乎法規，貨車及聯結車含遊覽客車大型車種(監理站所視為底盤車車種)於法規上可以加高及加寬，事實上以專業車種改裝來判斷重心問題，該類車種屬於高危險性改裝，政府機關公然允許違法的營業車改裝！一般汽車寬體改裝屬於增加車底盤寬度穩定提升，並引用氣流設計來增加車身下壓力以致保持車身安全性的平衡。4. 煞車安全性改裝，目前市售車種因車商希望有較好的油耗表現，往往在煞車上減輕重量及成本考量換較差的材質，大多都使用小規模鑄鐵盤搭配單邊活塞卡鉗，此煞車系統容易過熱導致煞車效果大幅降低，也產生了許多的追撞事故，若可合法改裝效能更佳知煞車系統便能降低因煞車不足而產生之事故。5. 汽車內部結構桿強化防止車身在被碰撞擠壓當中產生形變，使其傷者能夠提高存活機率，目前依賽車方式改裝其安全性大幅提升，對於交通安全上也能夠有效保障駕駛者的安全。6. 汽車燈具明亮度改裝目前現行法規也開始要求民眾須加裝日行燈，台灣監理單位含所包含交通部都未有相關專業人士來判斷是否改裝汽車會影響行車安全。結論:現在交通法規不合時宜，對於汽車安全改裝一律禁止，但對所謂的底盤車卻開放危險改裝。如:後車斗加長加寬加高(容易重心不穩)，聯結車底盤安裝探照燈(使汽車駕駛者容易刺眼)，加裝電動後移動車斗蓋，遊覽車車廂加大(影響乘客大成安全)，一片式車窗(逃生不易)。台灣交通法規需要專業人士來審核，不是官員說了算，監理站所高階主管可以把車身寬體形容成”輔助階梯”,”空力套件”,簡單明瞭的車身結構可以有多種不同的認知，法規上無明文規定之事項，竟用未添加之法條(監理所稱為內規的會議紀錄)來加以監督汽車使用者的汽車規範，公家機關帶頭違法，令人難以接受。買不起名車也可以買高級配件來增加自我交通工具的安全性，政府開放改裝進口零件買賣卻不容許安裝？特定圖利對象？還給汽車使用者改裝的權力。",1.以目前台灣改裝的族群 國際趨勢 圖利的都是跟監理站掛勾的黃牛2.改裝項目可以由政府單位成立公正單位收取改裝認證變更款項 以此增加稅收3.抵制逃漏稅廠商 廠家 店家 改裝車輛須登記 發票 店家施工明細 產品來源證明4.杜絕不肖業者 販售來源不明產品 仿冒山寨 提高對消費者保障 5.提升汽車零件製造產業競爭力,5101,5000,2017-11-14 16:21:03,237,0,無,Jerry Zheng,"The car safety modification content is as follows: 1. Car shock absorber improvement and safety installation 2. Car tire size increase 3. Car wide body modification and airflow design 4. Brake safety improvement modification 5. Car internal structural rod strengthening modification 6. Car lamp brightness improvement modification relative to the safety improvement value of modification 1. Car shock absorber modification: Nowadays, the safety factor of shock absorbers provided by domestic original cars is generally low, higher than comfortable, but the pressure resistance effect is not as expected. It is unacceptable that the body cannot be effectively controlled to avoid accidents when special situations occur, and the installation of shock absorbers sold legally in the country does not comply with regulations! Legally sold should be legally installed. People who can’t afford high-priced cars have the absolute right to choose to improve the safety of their driving tools. If it’s safe for themselves, it’s also safe for others. Why not modify it? 2. Car tire size increase and modification can help the car’s grip performance during driving, and it’s not easy to slip out of control when driving. 3. Wide-body modification and airflow design are the mainstream design of high-priced original sports cars today. If supercars use this aspect as their design concept and concept, is there any professional unit in my country that can identify this as a dangerous modification or even not in compliance with regulations? Large-scale trucks and combined vehicles including tourist buses (which are regarded as chassis vehicles by the supervision station) can be heightened and widened according to regulations. In fact, professional vehicle modifications are used to judge the center of gravity. This type of vehicle belongs to high-risk modification, and government agencies openly allow illegal business vehicle modification! General car wide-body modification is to increase the width of the chassis for stable improvement, and use the airflow design to increase the downforce of the car body so as to maintain the balance of car body safety. 4. Brake safety refitting. Currently, car manufacturers want to have better fuel consumption performance, so they often reduce the weight of the brakes and replace them with poorer materials due to cost considerations. Most of them use small-scale cast iron discs with single-sided piston calipers. This brake system is prone to overheating and the braking effect is greatly reduced, and many collision accidents have occurred. If the brake system can be legally modified to improve the performance, the accidents caused by insufficient braking can be reduced. 5. The internal structural rods of the car are strengthened to prevent the car body from being deformed during the collision and extrusion, so that the injured can increase the chance of survival. Currently, the safety of the modified car is greatly improved, and it can also effectively guarantee the safety of the driver in terms of traffic safety. 6. Modification of the brightness of car lamps. The current laws and regulations have also begun to require the public to install daytime running lights. Taiwan’s supervisory units, including the Ministry of Communications, have no relevant professionals to judge whether modifying cars will affect driving safety. Conclusion: The current traffic laws and regulations are outdated, and the safety modification of cars is prohibited, but the dangerous modification of so-called chassis cars is open. Such as: lengthen, widen and heighten the rear body of the car (easily unstable center of gravity), install searchlights on the chassis of the connected car (make it easy for the driver to dazzle), install an electric rear moving body cover, increase the compartment of the sightseeing car (affecting the safety of passengers), and one-piece windows (difficult to escape). Taiwan’s traffic regulations need to be reviewed by professionals, not officials. High-level supervisors at supervision stations can describe wide-body bodies as “auxiliary ladders” and “aerodynamic kits.” If you can’t afford luxury cars, you can also buy high-end accessories to increase the safety of your vehicle. The government opens up the sale of modified imported parts but does not allow them to be installed? A specific object of profit? Back to the car users to modify the power.",The content of vehicle safety modification is as follows:,4,Traffic&Cars,4,1,7,Traffic&Cars,basicNeeds,tax&salary
4849,2018-02-05 21:16:12,https://join.gov.tw/idea/detail/4afaf924-a334-4d90-b580-a2183a87993c,開放蘇花改多車種通行,方案A： 1.採分道方式開放遊覽車及機車(含重機)通行 2.開放遊覽車及機車(含重機)通行 3.希望可以實現各車種，最安全的回家道路，以及人等生命安全 4.蘇花改是省道為何只開放小型車通行,"1.蘇花公路只要遇強震都會有落石的掉落，蘇花改只限一種車可進入，而剩下的都要走，頭頂上隨時會有落石的危險公路 
2.震央在花蓮的一連串地震，已經高達50多起，讓不少民眾受到驚嚇徹夜難眠，所幸目前並未有災情傳出。然而也因為連續地震造成蘇花公路多處有落石，當時正好有一輛白轎車行經在蘇花公路上，驚險地從巨石或下的空隙間閃過 
3.政府口口聲聲說機車防護力弱，但越安全的公路系統，卻每每獨缺機車行駛規劃，騎士是次等公民？公路是公共財，而不是使用特定交通工具人所獨有，大家都應該有行駛權。此活動不分大牌顏色之二輪騎士參加，我們要讓政府看到騎士不能被交通規劃所遺忘。",5257,5000,2018-02-05 21:18:15,177,0,無,Xiu Ming,"Plan A: 1. Use separate lanes to open the passage of tourist buses and locomotives (including heavy machinery) 2. Open the passage of tourist buses and locomotives (including heavy machinery) 3. Hope to realize all types of vehicles, the safest way home, and the safety of people’s lives 4. Why is Suhuagai a provincial road only open to small cars?",Open up Suzhou flower change to multi-vehicle traffic,4,Traffic&Cars,4,6,7,Traffic&Cars,government&china,tax&salary
7464,2019-08-25 16:51:30,https://join.gov.tw/idea/detail/94f07e90-2554-4ac7-9103-45ba762e5ee2,寵物（貓／狗）搭乘鐵路大眾運輸【寵物友善車廂】規範及具體辦法,現況： 目前交通部台灣鐵路管理局現行的「旅客運送契約第46條」規定，其實造成了許多狗狗飼主的不便，因為僅有小型犬適用。以目前全世界都在推動的寵物友善，其寵物共乘火車大眾運輸工具之案例與辦法非常的多，台灣也有幾座城市率先推出寵物友善公車等運輸工具，連計程車相關聯盟和高速公路休息站都已朝向此目標在推進，同時各處寵物友善旅遊觀光日漸發展。故希望鐵路局能參考此作法，提升國內寵物友善，強化旅遊和運輸之便利。但因國人飼主責任尚未達到人人都能做到該盡之責任，在不影響到正常搭乘旅客之下，建議如下。 辦法：   寵物推車可上車，限定最大尺寸（大型犬可入），寵物不落地，不離開推車，會吵鬧者須戴口罩。（避免排泄物或者其他不必要麻煩）  寵物搭乘鐵路運輸工具可以半票或寵物票計費，（只要有提供確切的服務，相信飼主都能接受）  搭乘需攜帶晶片及狂犬病證明。（這是基本帶寵物外出本來就該準備的）  開放通勤電車等車廂寬敞的班次。（高速列車走道狹窄其實不適合，可維持原規定，除非願意掛載一節專屬車廂）  僅開放特定車廂。（例如最末節車廂，車廂註明寵物友善車廂，這樣不喜歡寵物或者過敏的乘客也不會想要進入）  鐵路局：由於寵物有收取費用，故請服務寵物和其飼主，因此提出以下建議。   往返之間乘客清空時車廂清潔需使用除跳蚤、壁蝨和空氣除臭劑進行清理，並可對外標示已消毒。  寵物車廂可獨立安裝寵物空間專用空氣清淨機。  車廂提供清潔袋及垃圾桶。  制定違反規範的處罰制度，例如：讓寵物離開推車。接受乘客投訴和檢舉。 ,"其實開放寵物車廂不僅不會造成正常旅客的不便，甚至能提升國內旅遊和台鐵營收，也能做到飼主責任的示範作用。尤其是一些非都會區的山道路線，例如十分和三貂嶺一代或者南投車埕、嘉義阿里山等觀光火車路線，應該會有大量的需求。 
飼主 
 
 國內有1/3戶養寵物，其中貓狗居多佔6成以上，而國內目前攜帶寵物旅遊盛行，近年連貓都開始外出旅遊，此舉可利於無自己交通工具之民眾。 
 偏遠地區貓狗看醫生困難，需要搭乘火車到鄰近都市，如依照目前規範，中大型犬其實在無汽機車運輸工具下，運輸困難。 
 一些喜愛寵物的旅客，說不定還會特意前往寵物車廂搭乘。 
 
鐵路局 
 
 寵物友善形象提升 
 趨勢話題性操作 
 額外的營收 
 相關活動舉辦 
",5256,5000,2019-08-25 16:57:48,240,0,無,Travel of Rice 小米遊記,"Current situation: The current ""Article 46 of Passenger Transportation Contract"" stipulated by the Taiwan Railway Administration of the Ministry of Communications has actually caused inconvenience to many dog ​​owners because only small dogs are applicable. With the current pet-friendly promotion being promoted all over the world, there are many cases and methods of pet-sharing public transportation on trains. Several cities in Taiwan are also the first to introduce pet-friendly buses and other transportation methods. Even taxi-related alliances and highway rest stops are advancing towards this goal. At the same time, pet-friendly tourism is developing day by day. Therefore, I hope that the Railway Bureau can refer to this practice to improve domestic pet-friendliness and enhance the convenience of travel and transportation. However, since the responsibilities of domestic owners have not yet reached the level that everyone can fulfill, without affecting normal passengers, the following suggestions are suggested. Measures: Pet strollers are allowed on the trolley, the maximum size is limited (large dogs are allowed), pets do not fall on the ground, do not leave the stroller, and those who make noise must wear masks. (Avoid excrement or other unnecessary troubles) Pets can be charged at half-ticket or pet ticket when taking railway transport, (as long as the exact service is provided, I believe the owner can accept it) Chips and rabies certificates are required for boarding. (This is basically what you should prepare for when you go out with your pet.) Commuter trains and other trains with spacious compartments are open. (The narrow aisle of the high-speed train is actually not suitable, and the original regulations can be maintained, unless you are willing to mount an exclusive carriage) Only specific carriages are open. (For example, the last car, the car is marked as a pet-friendly car, so that passengers who don’t like pets or are allergic will not want to enter) Railway Bureau: Since pets are charged, please serve pets and their owners, so the following suggestions are made. When passengers are emptied between round trips, the compartments must be cleaned with flea, tick and air deodorizers, and can be marked as disinfected. The pet carriage can be independently installed with a special air purifier for pet space. Cleaning bags and trash cans are provided in the compartment. Establish penalties for violations of the code, such as letting pets leave the stroller. Accept passenger complaints and reports.",Specifications and specific measures for pets (cats/dogs) traveling on railway public transportation [pet-friendly carriages],4,Traffic&Cars,4,1,7,Traffic&Cars,basicNeeds,tax&salary
8023,2020-02-13 19:47:13,https://join.gov.tw/idea/detail/74d6a3e5-6556-480f-8fde-ada6ca472f88,廢除區間測速,區間測速不僅不會嚇阻交通事故發生 像182縣道以及北宜公路至從有了區間 交通事故也比沒有減少反而造成交通堵塞,區間測速影響交通造成堵塞,6382,5000,2020-02-13 19:47:26,829,0,無,齊克,"Interval speed measurement will not deter traffic accidents. Like County Road 182 and Beiyi Highway, traffic accidents will be reduced if there is an interval, but it will cause traffic jams.",Abolish interval speed measurement,4,Traffic&Cars,4,1,0,Traffic&Cars,basicNeeds,crime
