,BERTLabels,id,date,title_zh,proposal_zh,date_zh,category_zh,proposal_state_zh,reason_denial_zh,reason_withdrawel_zh,seconds,reason_failure_zh,Category,title_en,proposal_en,date_en,category_en,proposal_state_en,reason_denial_en,reason_withdrawel_en,seconds.1,reason_failure_en,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,label
0,Public Housing and Child Care Subsidies,1,2017-04-13,將「睡眠呼吸中止症」重新納入身心障礙,"衛生福利部已於昨日發布修正案，正式取消睡眠呼吸中止身心障礙。發布修正條文106年1月5日，自發布日90日後實施，106年4月5日起實施新制。
※政府單位公告資訊：http://ppt.cc/ilaT3 點選【行政院公報】之連結後，會出現衛生福利部令106年1月5日衛部照字第1051564595號，修正「身心障礙者鑑定作業辦法」第十三條及第四條附表一、第五條附表二、附表三。
一、依修正總說明（http://ppt.cc/SpZf5）所示，就「身心障礙類別、鑑定向度、程度分級與基準」規定，為確保各類鑑定向度同程度基準之公平性，依據美國醫學會(American Medical Association，以下簡稱 AMA)評估全人損失百分比第六版之全人損失百分比(Whole Person Impairment，以下簡稱 WPI)，刪除第四類鑑定向度-呼吸功能，原基準障礙程度 1 之 5 Apnea-hypopnea index (AHI)大於 40/hr，連續使用呼吸輔助器六個月以上，確認其狀況為不可逆之變化無法改善，需長期使用呼吸輔助器者。
二、依身心障礙者鑑定作業辦法第十三條第三項修正規定，106年1月5日修正發布條文，自發布日90日後施行。意即，從106年4月5日實施新制後，衛福部就不會再發給因睡眠呼吸中止症之身心障礙手冊。",106年04月13日,醫療食品健康,檢核不通過,非純屬本府職權事務,有關本案所提將「睡眠呼吸中止症」重新納入身心障礙建議內容屬中央政府權責，依據「臺北市政府網路投票作業要點」本案非屬臺北市政府權責，提案範圍以臺北市政府權管之業務範圍內為限，因此本案不進入附議。,0,提案內容係屬中央權管業務,Social , Bringing 'sleep apnea' back as a disability,"The Ministry of Health and Welfare issued an amendment yesterday to formally abolish sleep apnea as a physical and mental disorder. The amendments were issued on January 5, 2016, and will be implemented 90 days after the date of publication, and the new system will be implemented on April 5, 2016. ※Government unit announcement information: http://ppt.cc/ilaT3 After clicking the link of [Executive Yuan Gazette], there will be a Ministry of Health and Welfare Order No. Appraisal Operation Measures” Article 13 and Schedule 1 of Article 4, Schedule 2 and Schedule 3 of Article 5. 1. According to the General Explanation of the Amendment (http://ppt.cc/SpZf5), with regard to the provisions of ""Category of Physical and Mental Disabilities, Identification Dimensions, Degree Grading and Standards"", in order to ensure the fairness of the standards of the same degree for various identification dimensions According to the Whole Person Impairment (WPI) of the sixth edition of the American Medical Association (AMA) assessment of the percentage of whole person loss (WPI), the fourth category of identification dimension-respiratory function is deleted, and the original standard Obstacle level 1 to 5 Apnea-hypopnea index (AHI) greater than 40/hr, continuous use of breathing aids for more than six months, confirmed that the condition is irreversible and cannot be improved, and requires long-term use of breathing aids. 2. According to the third amendment of Article 13 of the Measures for the Identification of Persons with Disabilities, the provisions were amended and promulgated on January 5, 2016, and will come into force 90 days after the promulgation date. That is, after the implementation of the new system on April 5, 2016, the Ministry of Health and Welfare will no longer issue handbooks for physical and mental disabilities due to sleep apnea.",106 Year 04 moon 13 day, medical food health, Check failed, It is not purely a matter of the government's authority," The content of the proposal to include ""sleep apnea"" as a disability in this case is the responsibility of the central government. According to the ""Taipei City Government Online Voting Operation Key Points"", this case is not the responsibility of the Taipei City Government. The scope of the proposal is within the power of the Taipei City Government. It is limited to the business scope of the management, so this case does not enter secondment.",0, The content of the proposal belongs to the central power management business, social,,,,, English, Chinese,Social 
1,"
Garbage Bag Policies in Taipei City",2,2017-04-13,廚餘建議用水虻處理，變廢為寶！,看到 Youtube 影片介紹大陸用水虻處理廚餘的成功案例，台灣應該也適合，所以提出來討論,106年04月13日,環保生態,檢核不通過,非純屬本府職權事務,有關本案所提「將廚餘建議用水虻處理，變廢為寶！」因本府回收之廚餘後續再利用，係依行政院環境保護署公告「一般廢棄物廚餘再利用管理方式」規定辦理，目前水虻運用於廚餘處理尚未通過中央核准，且養殖水虻處理廚餘數量有限，無法解決本市一日回收之廚餘量，故刻正規劃廚餘生質能廠，以達轉廢為能、節能減碳效益，故依據「臺北市政府網路投票作業要點」，本案不進入附議。,0,提案內容係屬中央權管業務,Environment & Climate," It is recommended to dispose of kitchen waste with sailflies, turning waste into treasure!"," See YouTube The video introduces the successful cases of using waterflies in mainland China to deal with food waste. Taiwan should also be suitable, so I bring it up for discussion.",106 Year 04 moon 13 day, Environmental protection and ecology, Check failed, It is not purely a matter of the government's authority,"In this case, ""it is recommended to dispose of food waste with waterflies and turn waste into treasure!"" because the subsequent reuse of the food waste recovered by the government is in accordance with the ""General Waste Food Waste Reuse Management Method"" announced by the Environmental Protection Administration of the Executive Yuan. At present, the use of soldier flies in food waste treatment has not yet been approved by the central government, and the number of food waste treated by breeding soldier flies is limited, which cannot solve the amount of food waste recycled in this city in a day. Therefore, a food waste bioenergy plant is currently being planned to achieve transformation Waste to energy, energy saving and carbon reduction benefits, so according to the ""Taipei City Government Online Voting Operation Key Points"", this case will not be seconded.",0, The content of the proposal belongs to the central power management business, Environment & Climate,,,,, Transport, transportation,Environment & Climate
2,"
Garbage Bag Policies in Taipei City",3,2017-04-13,果菜市場廢棄物，變廢為寶，產生獲利！,"YouTube 影片介紹大路蘭州果菜市場廢棄物如何用黃粉蟲處理，
變廢為寶，產生獲利！
覺得台灣應該也適合，所以提出來討論
?",106年04月13日,環保生態,檢核不通過,非純屬本府職權事務,有關本案所提「果菜市場廢棄物，變廢為寶，產生獲利！」因本府回收之廚餘後續再利用，係依行政院環境保護署公告「一般廢棄物廚餘再利用管理方式」規定辦理，目前黃粉蟲運用於廚餘處理尚未通過中央核准，故依據「臺北市政府網路投票作業要點」，本案不進入附議。,0,提案內容係屬中央權管業務,Environment & Climate," Fruit and vegetable market waste, turning waste into treasure, generating profits!"," youtube The video introduces how to treat waste from the Dalu Lanzhou fruit and vegetable market with Tenebrio molitor, turning waste into treasure and generating profits! I think Taiwan should also be suitable, so I brought it up for discussion ?",106 Year 04 moon 13 day, Environmental protection and ecology, Check failed, It is not purely a matter of the government's authority,"In this case, ""waste from the fruit and vegetable market, turn waste into treasure, and generate profit!"" Because the food waste recovered by the government is subsequently reused, it is in accordance with the announcement of the Environmental Protection Administration of the Executive Yuan ""General Waste Food Waste Reuse Management Method"" According to the regulations, the use of Tenebrio molitor in food waste treatment has not yet been approved by the central government. Therefore, according to the ""Taipei City Government's Online Voting Operation Points"", this case will not be seconded.",0, The content of the proposal belongs to the central power management business, Environment & Climate,,,,, Law & Justice, law and justice,Environment & Climate
3,"
Dance Venues in Taipei",4,2017-04-17,防止外籍勞工逃逸方法,? 因現台灣幾乎外勞到處可見，有身分證的沒身份證的也分不清，但總是再賺台灣人的錢，逃逸外勞始終問題無法解決，因此想以自己的想法確認可行性，避免逃逸外勞問題造成社會不安。,106年04月17日,其他,檢核不通過,非純屬本府職權事務,有關本案所提「防止外籍勞工逃逸方法」，您建議之內容屬中央政府權責，依據「臺北市政府網路投票作業要點」本案非屬臺北市政府權責，提案範圍以臺北市政府權管之業務範圍內為限，因此本案不進入附議。,0,提案內容係屬中央權管業務,Law & Justice , Methods to prevent foreign workers from escaping," ? Because foreign workers can be seen almost everywhere in Taiwan, and it is hard to distinguish between those with ID cards and those without ID cards, but they always earn money from Taiwanese people. The problem of escaping foreign workers is still unsolvable, so I want to confirm the feasibility with my own ideas. Avoid the problem of escaping foreign workers from causing social unrest.", 106 Year 04 moon 17 day, other, Check failed, It is not purely a matter of the government's authority,"Regarding the ""methods to prevent foreign workers from escaping"" proposed in this case, the content of your suggestion is the responsibility of the central government. According to the ""Key Points of Online Voting Operations of the Taipei City Government"", this case is not the responsibility of the Taipei City Government. The scope of the proposal is under the jurisdiction of the Taipei City Government. The scope of the business is limited, so this case does not enter secondment.",0, The content of the proposal belongs to the central power management business, Law & Justice,,,,, education, educate,Law & Justice 
4,Preservation of Cultural Heritage in Taipei,5,2017-04-18,每年12月把101裝飾成世界上最大顆的聖誕樹,"用簡單的方式可以提升台灣的能見度。
101造型設計成聖誕樹簡單又能吸引遊客。
銜接到跨年晚會讓整個12月有過節的氣氛。",106年04月18日,工商財經與產業,檢核不通過,非純屬本府職權事務,有關本案所提「每年12月把101裝飾成世界上最大顆的聖誕樹」，您建議之內容非屬臺北市政府權責，依據「臺北市政府網路投票作業要點」提案範圍以臺北市政府權管之業務範圍內為限，因此本案不進入附議。,0,非屬本府權管業務,Social , Per year 12 month handle 101 Decorated as the largest Christmas tree in the world, Taiwan's visibility can be improved in a simple way. 101 The shape is designed as a simple Christmas tree and can attract tourists. Connecting to the New Year's Eve party will make the whole 12 The month has a festive atmosphere., 106 Year 04 moon 18 day, Business Finance and Industry, Check failed, It is not purely a matter of the government's authority," The ""annual 12 month handle 101 Decorate the largest Christmas tree in the world"", the content of your suggestion is not within the responsibility of the Taipei City Government, according to the ""Taipei City Government Online Voting Operation Key Points"" the scope of the proposal is limited to the scope of business under the jurisdiction of the Taipei City Government, so this case No seconding.",0,Business not under the jurisdiction of the government, social,,,,, Finance, Finance and Economics,Social 
5,Taipei MRT station naming and location,6,2017-04-18,建議捷運匝門待機五分鐘後，允許雙向通行,"目前捷運站閘門設置都是單一方向居多
乘客要進出捷運站，往往遇到一整排綠燈或是一整排紅燈，即使非尖峰時段也是如此
如果遇到全部紅燈要繞一大圈找到綠燈",106年04月18日,交通運輸,附議不通過,附議不通過(未達3000則),,3,附議不通過(未達3000則),Transport," It is suggested that after five minutes of waiting for the MRT turnstile, two-way traffic is allowed"," At present, the gates of MRT stations are mostly set in one direction. Passengers who want to enter and exit the MRT station often encounter a whole row of green lights or a whole row of red lights, even during off-peak hours. If they encounter all the red lights, they have to go around a lot. find the green light", 106 Year 04 moon 18 day, Transportation, Seconded not passed, Seconded not passed ( not reached 3000 but ),,3, Seconded not passed ( not reached 3000 but ), Transport,,,,, Environment & Climate, environment and climate,Transport
6,Traffic violations and penalties in Taiwan,7,2017-04-18,酒駕經查獲者一律鞭刑，不得罰款,在台灣酒駕者已成為不定時炸彈，每年有許多無辜的家庭因酒駕者造成家庭破碎，希望政府能重視守法公民的人權，而不是放任酒駕者大多罰錢了事，希望藉由鞭刑有效遏阻酒駕發生率，並降低因酒駕造成的傷亡。,106年04月18日,交通運輸,檢核不通過,非純屬本府職權事務,有關本案所提將「酒駕經查獲者一律鞭刑，不得罰款 」建議內容屬中央政府權責，依據「臺北市政府網路投票作業要點」本案非屬臺北市政府權責，提案範圍以臺北市政府權管之業務範圍內為限，因此本案不進入附議。,0,提案內容係屬中央權管業務,Transport, Those caught drinking and driving will be whipped and not fined," Drunk driving in Taiwan has become a ticking time bomb. Every year, many innocent families are broken by drunk driving. I hope the government will pay attention to the human rights of law-abiding citizens, instead of allowing drunk drivers to pay fines. I hope that caning can effectively curb it. Prevent the incidence of drunk driving and reduce the casualties caused by drunk driving.", 106 Year 04 moon 18 day, Transportation, Check failed, It is not purely a matter of the government's authority,"The content of the suggestion in this case that ""all those caught drinking and driving will be whipped and not fined"" is the responsibility of the central government. According to the ""Key Points of Online Voting Operations of the Taipei City Government"", this case is not the responsibility of the Taipei City Government. The scope of the proposal is within the scope of the Taipei City Government. The scope of business under the government's jurisdiction is limited, so this case does not enter secondment.",0, The content of the proposal belongs to the central power management business, Transport,,,,,能源,energy,Transport
7,Regulation of Sex Trade and Prevention of STIs in Taiwan,8,2017-04-18,醫療分級：醫學中心僅收受轉診病人,"台灣健保是個立意良善的社會福利
但它大愛的結構上 卻造就了部分人士的濫用
譬如：久居境外的國人特意回國享受俗擱大碗的醫療、無事之病人 三天兩頭便尋求醫護人員的關懷
以至如今健保岌岌可危
?
?",106年04月18日,醫療食品健康,檢核不通過,非純屬本府職權事務,有關本案所提將「醫療分級：醫學中心僅收受轉診病人 」建議內容屬中央政府權責，依據「臺北市政府網路投票作業要點」本案非屬臺北市政府權責，提案範圍以臺北市政府權管之業務範圍內為限，因此本案不進入附議。,0,提案內容係屬中央權管業務,Social , Medical classification: the medical center only accepts referral patients," Taiwan's health insurance is a well-intentioned social welfare, but its structure of great love has created abuses by some people. For example, Chinese people who have lived abroad for a long time deliberately return to China to enjoy the vulgar medical treatment, and patients who have nothing to do will seek medical staff every three days. care so that health care is now in jeopardy ??", 106 Year 04 moon 18 day, medical food health, Check failed, It is not purely a matter of the government's authority," The content of the suggestion of ""Medical Classification: Medical Center only accepts referral patients"" proposed in this case is the responsibility of the central government. According to the ""Key Points of Online Voting Operations of Taipei City Government"", this case is not the responsibility of Taipei City Government. The scope of the proposal is within the scope of Taipei City The scope of business under the government's jurisdiction is limited, so this case does not enter secondment.",0, The content of the proposal belongs to the central power management business, social,,,,, social, social welfare,Social 
8,Parking and traffic management in Taipei City,9,2017-04-18,台北市道路 ，白色分隔線，斑馬線等， 白色漆面材質太滑，雨天行人走路，或機車煞車容易滑倒。,這個問題已經很久了， 白色漆面防滑係數過低，所以雨天使行人走在白色人行道，白色斑馬線上，或白色標示線上，很容易滑倒，機車煞車更容易滑倒，案例非常多，可是市政府從來沒有重視過這個一般民眾所遭遇日常的問題，希望能比照日本道路的防滑係數建立一個安全的行路，行車的道路空間。,106年04月18日,交通運輸,附議不通過,附議不通過(未達3000則),,87,附議不通過(未達3000則),Transport,"On the roads of Taipei City, white dividers, zebra crossings, etc., the white paint surface material is too slippery, pedestrians walking on rainy days, or motorcycle brakes are prone to slipping."," This problem has been around for a long time. The anti-skid coefficient of white paint is too low, so pedestrians walk on white sidewalks, white zebra crossings, or white marking lines in rainy days, and it is easy to slip, and motorcycle brakes are more likely to slip. There are many cases, but The municipal government has never paid attention to this daily problem encountered by ordinary people, hoping to establish a safe road space for driving and driving by comparing the anti-skid coefficient of Japanese roads.", 106 Year 04 moon 18 day, Transportation, Seconded not passed, Seconded not passed ( not reached 3000 but ),,87, Seconded not passed ( not reached 3000 but ), Transport,,,,, Military and Natonal Security, Military and National Security,Transport
9,"
Garbage Bag Policies in Taipei City",10,2017-04-18,台北市是否可引入自動回收機的制度,近日至社群媒體得知台南及高雄等縣市引入自動回收機(Automatic Recycle Machine)的機制，符合先進國家，如瑞典、德國等環保趨勢，期盼台北市作為台灣的領頭羊，可建立此一制度與機制。,106年04月18日,環保生態,附議不通過,附議不通過(未達3000則),,53,附議不通過(未達3000則),Environment & Climate, Can Taipei City introduce an automatic recycling machine system?," Recently, I learned from social media that counties and cities such as Tainan and Kaohsiung have introduced automatic recycling machines (Automatic Recycle Machine) The mechanism is in line with the environmental protection trends of advanced countries such as Sweden and Germany. It is hoped that Taipei City, as the leader of Taiwan, can establish such a system and mechanism.", 106 Year 04 moon 18 day, Environmental protection and ecology, Seconded not passed, Seconded not passed ( not reached 3000 but ),,53, Seconded not passed ( not reached 3000 but ), Environment & Climate,,,,,,,Environment & Climate
