Index,publishDate,url,title,proposal,benefits&impact,#Votes,MinVotesNecessary,SubmissionDate,Followers,Messages,GA,proposer,proposalEN,titleEN,Topic1,Topic2,Topic3,category1,category2,category3
98,2016-04-21 22:38:32,https://join.gov.tw/idea/detail/985c9388-59f0-4207-9df3-d3621f3d8771,執行「車速分流」，取消「車種分流」,當時代與科技不斷的在進步時，法律和制度必須同時盡快跟上，才能確保人民的權益。前提：行駛在道路上之車種，都只是代步工具，不必分貴賤，現今以機車為大眾來做舉例。尊重其他用路人之安全，道路應禮讓行人＞自行車＞機車＞重機＞小客車＞貨車＞大貨車以上等級為優先，受傷的總是越前面的。部分用路人駕照用雞腿換，對其他用路人不友善。正文：　　民國67年禁行機車沿用至今，當時因機車機動性不高，為了加快車流，上下班尖峰時段禁行機車，而非全天候禁行；全球僅剩三個國家執行車種分流，台灣就是其中之一。如今機車機動性高，卻只能行駛最外側車道，必須和公車、計程車、路邊臨停車輛等爭道，是為機車族帶來安全，還是傷害？　　在執行車速分流前，請務必將國民的交通素質提升再提升！高速公路就是一個車速分流的例子，但有發揮到車速分流的本質嗎？所以駕駛人才是關鍵，而不是車種，這有關教育、宣導、制裁、和民俗素養等；先不管改革，國民交通素質提升，為第一優先！圖片出處：google圖片引用連結文章:自由時報 「自由開講」澳洲國立大學博士生著,"個人對道路的定義是，能從Ａ點快速到達Ｂ點如此而已，車速分流的重要就是舒緩交通壅塞，不是右轉車跟直行車卡在路口。
機車和重機，構造和性質相似，以下用二輪代稱

二輪能改善交通壅塞
二輪使用空間小，空間上可使用到極大化，雙贏啊！（ａ）車陣時可鑽車縫（ｂ）停車空間小（支持使用者付費）
二輪排放量小，沒冷氣，不會待速吹冷氣，造成不必要的空氣汙染
台灣文化離不開二輪，發揚光大不是更好？希望政府能帶好風向，我台灣人，我驕傲！
",5079,5000,2016-04-21 22:41:43,642,0,無,豆漿,"When the times and technology are constantly advancing, the law and the system must keep up as soon as possible in order to ensure the rights and interests of the people. Premise: All types of vehicles on the road are just means of transportation, and there is no distinction between high and low. Now we take motorcycles as an example for the public. Respect the safety of other passers-by, and the road should give way to pedestrians > bicycles > locomotives > heavy machinery > passenger cars > trucks > large trucks and above. Some passers-by's driver's licenses are exchanged for chicken legs, which is not friendly to other passers-by. Main text: The ban on locomotives in 1967 is still in use today. At that time, due to the low mobility of locomotives, in order to speed up the traffic flow, locomotives were banned during peak commuting hours instead of all-weather. There are only three countries in the world that implement the division of vehicle types, and Taiwan is one of them. Nowadays, motorcycles are highly maneuverable, but they can only drive in the outermost lane. They have to compete with buses, taxis, and vehicles parked on the side of the road. Does this bring safety or harm to motorcycle owners? Before implementing the speed diversion, please be sure to improve the traffic quality of the people! Expressway is an example of speed diversion, but has the essence of speed diversion been brought into play? So driving talent is the key, not the type of car, which is related to education, publicity, sanctions, and folk literacy, etc. Regardless of reform, improving the quality of national transportation is the first priority! Image source: google Image Citation Link Article: Liberty Times ""Freedom to speak"" by a doctoral student at Australian National University","Execute ""vehicle speed split"" and cancel ""vehicle type split""",3,4,6,traffic and roads and taxes,"vehicle, china",education
105,2016-05-05 20:45:48,https://join.gov.tw/idea/detail/b2205964-f157-4f1d-8461-3c138f50216b,機車改裝合法化,嘉義一位騎士花了七萬多元改裝費將愛車的後輪改寬.軸距改長.犯了天條.被警方查扣後.開了五張罰單並且吊銷車牌. 新聞 >>http://goo.gl/STtzSl哈雷機車改造世界冠軍葉韋廷http://www.gq.com.tw/life/celebrities/content-14534.htmlhttp://www.nownews.com/n/2013/05/13/275305https://tw.news.yahoo.com/%E5%8F%B2%E4%B8%8A%E7%AC%AC-%E4%B8%96%E7%95%8C%E6%94%B9%E8%A3%9D%E6%A9%9F%E8%BB%8A%E8%B3%BD-%E5%86%A0%E8%BB%8D%E4%BE%86%E8%87%AA%E5%8F%B0%E7%81%A3-034853686.html一樣的事情，換做到日本，這個與我們接近的國家且相同擁有製造摩托車的能力，但對於改裝法規及觀感卻極大不同只要不影響到用路人，摩托車改裝品通過公家檢驗就像安全食品認證，日本針對改裝車輛定製出JMCA標準以排氣管改裝為例.日本政府訂出噪音值與排氣角度的規範.使民間業者製作出的排氣管販售前送驗檢驗合格就可上市販售.合法使用有了政府把關.改裝可以很合法同時也促進了這項產業的發展與進步轉過頭來看看台灣，這麼點簡單的事情有這麼困難嗎??警察整天在馬路上攔檢改裝摩托車，且不懂法規就隨意開單定義出一套標準有這麼困難嗎??甚至堅持非原廠就是危險!!告訴我...危險在哪裡??換煞車卡鉗危險??加裝燈危險??換排氣管危險??大貨車裝燈是吸引他人注意並增加他人行車安全腳踏車裝燈是吸引他人注意並增加自身行車安全摩托車裝燈是吸引警察注意(開單後寫著影響他人行車安全)影響在哪???那些賣檳榔的燈比摩托車上的還亮就安全了??最近台灣不惜出動大批警力每天從早到晚，大街小巷，與環保局合作設立臨檢站攔檢改裝摩托車似乎要消滅全台灣改裝摩托車似乎台灣馬路沒有摩托車就是進步你們有想過外國人來台灣租機車觀光騎上高速公路和拍攝他們的汽車揮手示好打招呼(以為友好??)之後卻被攔下還被開單(外國人表示：台灣不能上高速公路??)((外國人覺得智障但外國人不說??))甚至還會被爆上新聞增加版面順便洗腦一般市民摩托車很危險??,"嘉義一位騎士花了七萬多元改裝費將愛車的後輪改寬.軸距改長.犯了天條.被警方查扣後.開了五張罰單並且吊銷車牌. 新聞 >> http://goo.gl/STtzSl
哈雷機車改造世界冠軍葉韋廷http://www.gq.com.tw/life/celebrities/content-14534.htmlhttp://www.nownews.com/n/2013/05/13/275305
https://tw.news.yahoo.com/%E5%8F%B2%E4%B8%8A%E7%AC%AC-%E4%B8%96%E7%95%8C%E6%94%B9%E8%A3%9D%E6%A9%9F%E8%BB%8A%E8%B3%BD-%E5%86%A0%E8%BB%8D%E4%BE%86%E8%87%AA%E5%8F%B0%E7%81%A3-034853686.html
一樣的事情，換做到日本，這個與我們接近的國家且相同擁有製造摩托車的能力，但對於改裝法規及觀感卻極大不同
只要不影響到用路人，摩托車改裝品通過公家檢驗就像安全食品認證，日本針對改裝車輛定製出JMCA標準以排氣管改裝為例.日本政府訂出噪音值與排氣角度的規範.使民間業者製作出的排氣管販售前送驗
檢驗合格就可上市販售.合法使用有了政府把關.改裝可以很合法同時也促進了這項產業的發展與進步
轉過頭來看看台灣，這麼點簡單的事情有這麼困難嗎??警察整天在馬路上攔檢改裝摩托車，且不懂法規就隨意開單
定義出一套標準有這麼困難嗎??
甚至堅持非原廠就是危險!!告訴我...危險在哪裡??
換煞車卡鉗危險??加裝燈危險??換排氣管危險??
大貨車裝燈是吸引他人注意並增加他人行車安全
腳踏車裝燈是吸引他人注意並增加自身行車安全
摩托車裝燈是吸引警察注意(開單後寫著影響他人行車安全)影響在哪???那些賣檳榔的燈比摩托車上的還亮就安全了??

最近台灣不惜出動大批警力每天從早到晚，大街小巷，與環保局合作
設立臨檢站攔檢改裝摩托車
似乎要消滅全台灣改裝摩托車
似乎台灣馬路沒有摩托車就是進步
你們有想過外國人來台灣租機車觀光
騎上高速公路和拍攝他們的汽車揮手示好打招呼(以為友好??)之後卻被攔下還被開單(外國人表示：台灣不能上高速公路??)((外國人覺得智障但外國人不說??))
甚至還會被爆上新聞增加版面順便洗腦一般市民摩托車很危險??
",6010,5000,2016-05-05 20:46:09,1022,0,無,陳國輝,"A knight in Chiayi spent more than 70,000 yuan on modification fees to widen the rear wheels of his car and lengthen the wheelbase. He violated the rules of heaven. After being seized by the police, he was issued five tickets and his license plate was revoked. News >>http://goo.gl/STtzSl Harley motorcycle modification world champion Ye Weiting http://www.gq.com.tw/life/celebrities/content-14534.htmlhttp://www.nownews.com/n/2013/ 05/13/275305https://tw.news.yahoo.com/%E5%8F%B2%E4%B8%8A%E7%AC%AC-%E4%B8%96%E7%95%8C%E6%94%B9%E8%A3%9D%E6%A9%9F%E8%BB%8A%E8%B3%BD-%E5%86%A0 %E8%BB%8D%E4%BE%86%E8%87%AA%E5%8F%B0%E7%81%A3-034853686.html The same thing, if you change it to Japan, this country is close to us and has the same ability to manufacture motorcycles, but the modification regulations and perception are very different. The government sets the noise level and exhaust angle specifications. The exhaust pipes produced by private operators can be sold after passing the inspection before they are sold. Legal use is checked by the government. Modifications can be very legal and at the same time promote the development and progress of this industry. Changing the exhaust pipe is dangerous? Large trucks are equipped with lights to attract the attention of others and increase their driving safety. Bicycles are equipped with lights to attract others’ attention and increase their own driving safety. I thought about foreigners coming to Taiwan to rent locomotives for sightseeing, riding on the highway and filming their cars to say hello (think friendly??), but they were stopped and billed (foreigners said: Taiwan can’t use the expressway??) ((foreigners think they are mentally handicapped, but foreigners don’t say it??)) and even be exposed to the news and increase the layout, and brainwash ordinary citizens. Motorcycles are dangerous??",Legalization of locomotive modification,3,4,0,traffic and roads and taxes,"vehicle, china",public system
175,2016-07-12 17:46:45,https://join.gov.tw/idea/detail/2f05760d-5202-45d8-8e0b-dc3348e2854f,月亮杯比照衛生棉條合法網購,　　月事用品在台灣的販售推廣向來有諸多限制，因被歐盟歸類為民生用品的衛生棉條（tampon）和月經量杯（menstrual cup），在台灣官方分類卻隸屬二級醫療器材，實務上需要執照及檢驗程序，個人進口則需要診斷證明書，導致衛生棉條選擇較少，而月經量杯尚未發給執照，法規的限制使得相關執照申請手續繁瑣，導致少有廠商願意生產、進口或代理。　　月經量杯（menstrual cup）俗稱「月亮杯」，是用醫療級矽膠材質製作的軟杯，可捲起推入陰道，用以盛接經血的女性生理用品，在每次經期前後消毒清潔，即可重複使用，相較於衛生棉和衛生棉條更為環保和容易攜帶，可被重複使用五到十年，可大量減少在經期產生的垃圾量與環境汙染，節省購買拋棄式衛生用品的費用，是在國外相當普遍和蓬勃發展的月事用品。可惜的是，在台灣尚未有任何廠商生產或引進，導致國人對此產品感到陌生。想要使用的台灣女生，必須自己出國購買、或者託人從國外代購，一旦被海關發現還會被以違禁醫療器材查扣。　　以衛生棉條為例，國內棉條廠商莎容企業從2008年5月開始漫長的衛生棉條醫療器材許可證申請過程，直至2010年3月，政府才終於願意放行，讓其取得核准發行導管棉條的執照。2010年7月，台灣第一個自創導管棉條品牌「凱娜KiraKira」終於上市，成為台灣月事用品發展的重要里程碑。　　直至2014年1月，依台灣衛生福利部授食字第1021653168號公告，體脂計、保險套、衛生棉條已開放藥商在登記後於網路販售。衛生棉條開放網路購買，代表其部分解禁，成為相對自由流通的民生用品，除了原有的三個衛生棉條品牌，新品牌「Moxie魔晰」在同年五月正式進軍台灣。截至2014年11月，在衛福部的醫療器材許可證查詢結果中，衛生棉條（L5470. 無香味的衛生棉塞）僅發出五張，月經杯（L5400. 月經量杯）則仍掛零。2015年初，長期經營有機棉品項的英國品牌「Natracare綠可兒」也加入棉條市場，台灣衛生棉條發展才得以再度邁入嶄新的階段。　　2015年8月28日，台灣棉條品牌「凱娜KiraKira」的創辦人深感歐美女性取得月亮杯容易，台灣女性卻只能找跨國代買，且因台灣衛生福利部尚未核准任何類似品之審查案，跨國代買需要負擔海關查扣的風險。為了突破這個現狀，再度啟動新一波的月事革命，發起「台灣月亮杯群眾募資專案」，主打「第一個為台灣女性設計的月亮杯」，短短三天期間達到300萬募資門檻，三個月後成功募得新台幣960萬元，顯示台灣女性對月亮杯產品的需求和理念的響應。此月亮杯開發案日前經衛生福利部食品藥物管理署醫療器材專案諮詢回復核准，已將產品送臨床前試驗及生物相容性實驗，原本在衛福部的醫療器材許可證掛零的月經杯（L5400. 月經量杯），預計將於2016年第三季發出第一張執照。　　根據2012年11月1日署授食字第1011606990號公告及2014年1月2日部授食字第1021653168號公告，係開放實體店面之藥商得於網路販賣第一等級醫療器材及體脂計、保險套及衛生棉條等二級醫療器材，並未開放一般民眾於網路販賣醫療器材。在「台灣月亮杯群眾募資專案」發起前，網路上有兩家長期代購月亮杯的社團，時時都要冒著被檢舉罰鍰或入關查扣的風險。　　但月亮杯與衛生棉條使用原理不同，用以收集經血，而非吸收經血，產品本身無吸收性，因此不會造成陰道內膜乾裂、觸發TSS中毒休克症候群之可能性。所以美國食品藥品管理局判定，月經量杯產品不須呈交上市前申報書，比衛生棉條規範更鬆，故建議比照衛生棉條開放網路販售，依2014年1月2日部授食字第1021653168號公告，體脂計、保險套、衛生棉條已開放藥商在登記後於網路販售，所以詢問是否開放其他二級醫療器材，應該也是循此先例。　　此階段的提案，並非修改月亮杯在現行台灣法規的醫療器材分類，而是希望將月亮杯列為開放網購的品項，我們深信唯有合理的流通管道，才有可能吸引更多廠商願意進口和投注心力在L.5400品項的擴充，以增加台灣女生的月事用品選擇權，並且在政策的管理下，真正保障消費者的使用安全。,　　降低民眾取得L.5400醫療器材的門檻，得以增加其他廠商進口L.5400的意願，讓有心耕耘的廠商能依法申請藥商執照，取得醫療器材許可證，合法販售月事用品，以保障民眾的使用安全，擴充台灣L.5400品項的選擇多樣性，同時利於經期教育和推廣。,6150,5000,2016-07-12 17:58:39,461,0,無,Wen-Fei Shih,"There have always been many restrictions on the sales and promotion of menstrual products in Taiwan. Because tampons and menstrual cups are classified as daily necessities by the European Union, they are officially classified as second-class medical equipment in Taiwan. In practice, licenses and inspection procedures are required. Individual imports require a diagnostic certificate, resulting in fewer options for tampons, and menstrual cups. Menstrual cups, commonly known as ""moon cups"", are soft cups made of medical-grade silicone material. They can be rolled up and pushed into the vagina to hold menstrual blood. They are sterilized and cleaned before and after each menstrual period, and can be reused. Compared with sanitary napkins and tampons, they are more environmentally friendly and easy to carry. They can be reused for five to ten years. They can greatly reduce the amount of garbage generated during menstruation and environmental pollution, and save the cost of purchasing disposable sanitary products. . It's a pity that no manufacturer has produced or introduced it in Taiwan yet, causing Chinese people to feel unfamiliar with this product. Taiwanese girls who want to use it must go abroad to buy it by themselves, or entrust someone to buy it from abroad. Once discovered by the customs, they will be seized with prohibited medical equipment. Taking tampons as an example, the domestic tampon manufacturer Sharon started the long process of applying for a tampon medical equipment license in May 2008. It was not until March 2010 that the government finally gave it the go and allowed it to obtain a license to issue catheter tampons. In July 2010, Taiwan's first self-made catheter tampon brand ""KiraKira"" was finally launched, which became an important milestone in the development of Taiwan's menstrual products. Until January 2014, according to the announcement No. 1021653168 of the Taiwan Ministry of Health and Welfare, body fat meters, condoms, and tampons have been opened to drug dealers to sell online after registration. The opening of tampons to online purchases means that tampons have partially lifted the ban and become a relatively free-flowing daily necessities. In addition to the original three tampon brands, the new brand ""Moxie"" officially entered Taiwan in May of the same year. As of November 2014, in the results of the medical equipment license inquiry of the Ministry of Health and Welfare, only five tampons (L5470. Unscented tampons) were issued, and zero menstrual cups (L5400. Menstrual measuring cup). At the beginning of 2015, the British brand ""Natracare Green Keer"", which has been operating organic cotton products for a long time, also entered the tampon market, and Taiwan's tampon development was able to enter a new stage again. On August 28, 2015, the founder of Taiwanese tampon brand ""KiraKira"" deeply felt that it is easy for European and American women to obtain menstrual cups, but Taiwanese women can only find overseas agents to buy them, and because Taiwan's Ministry of Health and Welfare has not yet approved any review of similar products, international agents have to bear the risk of customs seizure. In order to break through this situation, start a new wave of menstrual revolution again, launch the ""Taiwan Moon Cup Crowdfunding Project"", focusing on ""the first moon cup designed for Taiwanese women"", reached the fundraising threshold of 3 million in just three days, and successfully raised NT$9.6 million after three months, showing Taiwanese women's response to the demand and concept of moon cup products. The menstrual cup development project was recently approved by the Food and Drug Administration of the Ministry of Health and Welfare, and the product has been submitted for preclinical testing and biocompatibility testing. The menstrual cup (L5400. Menstrual measuring cup), which was originally listed as zero in the medical equipment license of the Ministry of Health and Welfare, is expected to issue the first license in the third quarter of 2016. According to the Announcement No. 1011606990 issued by the Ministry of Food and Drug Administration on November 1, 2012 and the Announcement No. 1021653168 issued by the Ministry of Food and Drug Administration on January 2, 2014, drug dealers with physical stores are allowed to sell first-class medical equipment and second-class medical equipment such as body fat meters, condoms, and tampons on the Internet. General public are not allowed to sell medical equipment online. Before the ""Taiwan Moon Cup Crowdfunding Project"" was launched, there were two associations on the Internet that purchased moon cups for a long time, and they always risked being reported, fined or seized by customs. However, the principle of use of menstrual cups is different from that of tampons. They are used to collect menstrual blood instead of absorbing menstrual blood. The product itself is not absorbent, so it will not cause the vaginal lining to dry out and trigger the possibility of TSS toxic shock syndrome. Therefore, the U.S. Food and Drug Administration has determined that menstrual cup products do not need to submit a pre-market declaration, which is looser than tampons. Therefore, it is recommended to open the Internet for sale in the same way as tampons. According to the Announcement No. 1021653168 on January 2, 2014, body fat meters, condoms, and tampons have been allowed to be sold online by drug dealers after registration. Therefore, it should also follow this precedent when asking whether to open other secondary medical devices. The proposal at this stage is not to modify the classification of menstrual cups in the current Taiwanese regulations, but to list menstrual cups as an item open to online shopping. We firmly believe that only reasonable distribution channels can attract more manufacturers willing to import and invest in the expansion of L.5400 items, so as to increase the choice of menstrual products for Taiwanese girls, and under the management of policies, truly guarantee the safety of consumers.",Menstrual cups compared to tampons legal online shopping,3,1,0,traffic and roads and taxes,law,public system
276,2016-09-08 01:17:52,https://join.gov.tw/idea/detail/5be40d90-0f96-4274-acc0-ed721a6d2873,汽機車燃料稅應隨油徵收,汽機車燃料稅，目前是以車子的引擎排放量為基準，作為費率標準，這完全是一個莫名其妙的制度顧名思義，燃料稅課徵的目的是「燃料使用所造成的社會成本」，例如空汙、噪音、碳排放等等；這樣的話，課徵的標準，當然是使用燃料的多寡例如同樣是1800 c.c. 的汽車，每年使用的汽油（或柴油）量，可能天差地別，如何能一概而論？要衡量使用燃料的多寡，最顯而易見的方式，當然就是燃油的使用量！鄰近的新加坡、日本、韓國，早已實施燃料稅隨油徵收多年，因而表面上看來每公升油價高於台灣，但事實上因內含燃料稅，對於駕駛人反而更加划算且公平！不會因為持有一台cc數較大的車子，就必須每年固定被課徵高額燃料稅，無論使用里程多寡（附帶一提，較高引擎排放量的汽車，可能體積較大，使用路權較多，理應負擔較多的稅負，此部份已由較高的牌照稅所cover，與燃料稅實無關聯）因此本提案建議：汽機車的燃料稅，改為附加於汽柴油的消費上，也就是隨油徵收,"帶來的利益：

回歸使用者（污染者）付費，有效減少空氣污染與碳排放：台灣目前的人均碳排放量是全球第一！除了許多高污染工業之外，大量的汽機車也難辭其咎，而燃料稅這種打混仗的徵收方式，就是導致汽機車污染高居不下的主因之一。如果燃料稅改為隨油徵收，勢必使得大量使用燃料（因而製造大量污染與碳排放）的汽車，受到成本提升的壓力，而開始設法減少燃料使用，從而減少空汙與碳排。這必帶來更好的空氣品質與低碳環境！

 
影響：

地下油品氾濫。這是交通部這幾十年來，面對燃料稅隨油徵收主張時，所採取一貫的說詞（請參考http://newtalk.tw/news/view/2016-03-23/71423?），但事實上，唯一的佐證，是在民國五十年那次的隨油徵收經驗，距今已整整55年了，時空背景完全不同！時至今日，到底還有多少地下油品的來源？以及，到底還會有多少運輸工具，會冒險使用來源不明的油品？
大眾運輸成本提高：可考慮另案補助
",5962,5000,2016-09-08 15:00:41,579,0,無,gishin,"The fuel tax for automobiles and motorcycles is currently based on the engine emissions of the vehicle as the rate standard. This is a totally inexplicable system. As the name suggests, the purpose of fuel tax collection is ""the social cost caused by fuel use"", such as air pollution, noise, carbon emissions, etc. In this case, the standard of taxation is of course the amount of fuel used. For example, the amount of gasoline (or diesel) used by a car with the same 1800 c.c. The most obvious way to measure the amount of fuel used is of course the amount of fuel used! Neighboring Singapore, Japan, and South Korea have already implemented fuel tax collection along with the fuel for many years, so it seems that the price per liter of fuel is higher than Taiwan, but in fact, because the fuel tax is included, it is more cost-effective and fair for drivers! It will not be necessary to levy high fuel tax every year just because you own a car with a large cc number, no matter how much mileage you use.",Automobile fuel tax should be levied along with oil,3,1,0,traffic and roads and taxes,law,public system
281,2016-09-08 15:12:41,https://join.gov.tw/idea/detail/cbba45db-4b5b-4867-a348-63c0655bd944,推動安樂死合法, 明天會更好？尊嚴的走吧!—安樂死合法化 「輕輕敲醒沉睡的心靈，慢慢張開你的眼睛，…明天會更好」，也許不少人對這首「明天會更好」耳熟能詳，更希望現實生活「明天會更好」。但您可知道有多少人每天眼巴巴的盼望奇蹟出現，他們盼望昏迷少則幾天、多達數十年，沉睡不醒的親人、朋友，能張開眼睛、伸開雙手、打開心靈..「看看忙碌的世界是否依然孤獨的轉個不停」!也有人盼望生命末期的親友離苦得樂，當然有奇蹟發生，但千萬案例中出現的奇蹟絕不超過十位數，對絕大多數人而言，「絕望」是他們最後的心情寫照。 「 安樂死」源自希臘文 euthanasia，意為「好的死亡」或「無痛苦的死亡」，韋氏字典定義為「安靜而容易的死亡」，由於涉及醫學、哲學、經濟、法律、宗教、倫理、社會學等各領域，各界看法相當分歧，安樂死的合法化與否，一直是個頗受爭議性的議題，贊成的人認為可讓痛苦的病患得到解脫；反對的人則[認為生命是神聖的，不可侵犯的。 艱澀的理論探討堆積如山，病患家屬哪有閒情逸致翻閱？專家學者「公說公有理，婆說婆有理」，看看王曉民的例證，再看看週遭親友家庭中有植物人、昏迷不醒的、無藥可治的…大筆醫療費拖累家庭經濟；漫無止境的照顧拖垮照顧者健康…人孰無情？哪個病患家屬希望結束親人的生命?但誰來關心病患及家屬的苦痛；誰能減輕病人及家屬的恐懼、焦慮?誰能關心他們何去何從? 生命的意義不在壽命的長短，而在生活精采與否，當一個人成為「死的活人」，生命已毫無意義可言。我們怎忍心讓他們繼續承受病痛的折磨?我們怎忍心讓他們毫無尊嚴的「活下去」? 荷蘭的眾議院於2000年11月28日通過安樂死以及醫師助死法案，2001年4月10日參議院通過安樂死合法化，成為全球第一個准許安樂死的國家。台灣加油!,減少無效醫療，減輕健保負擔，節省社會成本,5392,5000,2016-09-08 15:13:08,538,0,無,賴台生,"Tomorrow will be better? Let's go with dignity! — Legalization of euthanasia ""Gently wake up the sleeping soul, slowly open your eyes,...tomorrow will be better"", perhaps many people are familiar with this song ""Tomorrow will be better"", and hope that ""tomorrow will be better"" in real life. But do you know how many people are eagerly looking forward to miracles every day? They hope that their relatives and friends who have been in a coma for at least a few days or as many as decades can open their eyes, hands, and hearts... ""See if the busy world is still spinning around alone""! Some people hope that their relatives and friends at the end of life will get rid of suffering and find happiness. Of course, miracles happen, but the number of miracles in tens of thousands of cases never exceeds ten digits. For most people, ""despair"" is the portrayal of their last mood. ""Euthanasia"" comes from the Greek word euthanasia, which means ""good death"" or ""painless death"". Webster's dictionary defines it as ""quiet and easy death"". Since it involves medicine, philosophy, economics, law, religion, ethics, sociology and other fields, opinions from all walks of life are quite different. The legalization of euthanasia has always been a controversial issue. There are so many difficult theoretical discussions piled up like a mountain, how can the family members of the patients have the leisure to read them? Experts and scholars say ""the public is right, the mother-in-law is right."" Look at Wang Xiaomin's example, and then look at the relatives and friends around you who are in a vegetable state, comatose, and incurable... Huge medical expenses drag down the family's economy; endless care drags down the health of the caregiver... Who is ruthless? Which family member of a patient wants to end the life of their loved one? But who will care about the pain of the patient and family members; who can alleviate the fear and anxiety of the patient and family members? How can we have the heart to let them continue to suffer from illness? How can we have the heart to let them ""live"" without dignity? The House of Representatives of the Netherlands passed the Euthanasia and Physician Assisted Death Act on November 28, 2000, and the Senate passed the legalization of euthanasia on April 10, 2001, becoming the first country in the world to allow euthanasia. Come on Taiwan!",Promote the legalization of euthanasia,4,5,0,"vehicle, china",system,public system
